extension,mimeType
3dml,text/vnd.in3d.3dml
3g2,video/3gpp2
3gp,video/3gpp
aac,audio/x-aac
aam,application/x-authorware-map
aas,application/x-authorware-seg
abw,application/x-abiword
acc,application/vnd.americandynamics.acc
ace,application/x-ace-compressed
acu,application/vnd.acucobol
acutc,application/vnd.acucorp
adp,audio/adpcm
aep,application/vnd.audiograph
ai,application/postscript
air,application/vnd.adobe.air-application-installer-package+zip
ami,application/vnd.amiga.ami
apk,application/vnd.android.package-archive
application,application/x-ms-application
apr,application/vnd.lotus-approach
asc,application/pgp-signature
asf,video/x-ms-asf
aso,application/vnd.accpac.simply.aso
asx,video/x-ms-asf
atc,application/vnd.acucorp
atom,application/atom+xml
atomcat,application/atomcat+xml
atomsvc,application/atomsvc+xml
atx,application/vnd.antix.game-component
au,audio/basic
avi,video/x-msvideo
aw,application/applixware
azf,application/vnd.airzip.filesecure.azf
azs,application/vnd.airzip.filesecure.azs
azw,application/vnd.amazon.ebook
bcpio,application/x-bcpio
bdf,application/x-font-bdf
bdm,application/vnd.syncml.dm+wbxml
bed,application/vnd.realvnc.bed
bh2,application/vnd.fujitsu.oasysprs
bmi,application/vnd.bmi
bmp,image/bmp
box,application/vnd.previewsystems.box
btif,image/prs.btif
bz,application/x-bzip
cab,application/vnd.ms-cab-compressed
car,application/vnd.curl.car
cat,application/vnd.ms-pki.seccat
cdf,application/x-netcdf
cdkey,application/vnd.mediastation.cdkey
cdx,chemical/x-cdx
cdxml,application/vnd.chemdraw+xml
cdy,application/vnd.cinderella
cer,application/pkix-cert
cgi,application/cgi
cgm,image/cgm
chat,application/x-chat
chm,application/vnd.ms-htmlhelp
chrt,application/vnd.kde.kchart
cif,chemical/x-cif
cii,application/vnd.anser-web-certificate-issue-initiation
cil,application/vnd.ms-artgalry
cla,application/vnd.claymore
class,application/java-vm
clkk,application/vnd.crick.clicker.keyboard
clkp,application/vnd.crick.clicker.palette
clkt,application/vnd.crick.clicker.template
clkw,application/vnd.crick.clicker.wordbank
clkx,application/vnd.crick.clicker
clp,application/x-msclip
cmc,application/vnd.cosmocaller
cmdf,chemical/x-cmdf
cml,chemical/x-cml
cmp,application/vnd.yellowriver-custom-menu
cmx,image/x-cmx
cnf,text/x-config
cod,application/vnd.rim.cod
conf,text/plain
conf,text/x-config
cpio,application/x-cpio
cpt,application/mac-compactpro
crd,application/x-mscardfile
crl,application/pkix-crl
csh,application/x-csh
csml,chemical/x-csml
csp,application/vnd.commonspace
css,text/css
csv,text/csv
cu,application/cu-seeme
curl,text/vnd.curl
cww,application/prs.cww
daf,application/vnd.mobius.daf
davmount,application/davmount+xml
dcurl,text/vnd.curl.dcurl
dd2,application/vnd.oma.dd2+xml
ddd,application/vnd.fujixerox.ddd
deb,application/x-debian-package
def,text/plain
dfac,application/vnd.dreamfactory
dis,application/vnd.mobius.dis
djv,image/vnd.djvu
djvu,application/x-debian-package
dna,application/vnd.dna
doc,application/msword
docm,application/vnd.ms-word.document.macroenabled.12
docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
dot,application/msword
dotm,application/vnd.ms-word.template.macroenabled.12
dotx,application/vnd.openxmlformats-officedocument.wordprocessingml.template
dp,application/vnd.osgi.dp
dpg,application/vnd.dpgraph
dra,audio/vnd.dra
dsc,text/prs.lines.tag
dssc,application/dssc+der
dtb,application/x-dtbook+xml
dtd,application/xml-dtd
dts,audio/vnd.dts
dtshd,audio/vnd.dts.hd
dvi,application/x-dvi
dwf,model/vnd.dwf
dwg,image/vnd.dwg
dxf,image/vnd.dxf
dxp,application/vnd.spotfire.dxp
ecma,application/ecmascript
edm,application/vnd.novadigm.edm
edx,application/vnd.novadigm.edx
efif,application/vnd.picsel
ei6,application/vnd.pg.osasli
emma,application/emma+xml
